Date,Exercise
16th Feb,Shoulder Rehab
16th Feb,Lateral Raises
16th Feb,Rows
16th Feb,Scapular Pull Ups
17th Feb,Cardio
17th Feb,Hammer Curls
17th Feb,Bicep Curls
18th Feb,Cardio
18th Feb,Wrist Curls
18th Feb,Wrist Ext
18th Feb,Crunches
18th Feb,Leg Raises
18th Feb,Obliques
18th Feb,Tricep Ext
19th Feb,Cardio
19th Feb,Shoulder Rehab
19th Feb,Lateral Raises
20th Feb,Rear Delt Fly
20th Feb,Rows
20th Feb,Scapular Pull Ups
21th Feb,Rest Day
22nd Feb,Rest Day
23rd Feb,Cardio
23rd Feb,Hammer Curls
23rd Feb,Bicep Curls
24th Feb,Cardio
24th Feb,Rear Delt Fly
24th Feb,Rows
24th Feb,Scapular Pull Ups
25th Feb,Rest Day
26th Feb,Cardio
26th Feb,Wrist Curls
26th Feb,Wrist Ext
26th Feb,Crunches
26th Feb,Leg Raises
27th Feb,Rest Day
28th Feb,Cardio
28th Feb,Shoulder Rehab
28th Feb,Lateral Raises
28th Feb,Shoulder Press
28th Feb,Tricep Ext
1st March,Hammer Curls
1st March,Bicep Curls
2nd March,Rear Delt Fly
2nd March,Rows
3rd March,Cardio
3rd March,Scapular Pull Ups
3rd March,Crunches
3rd March,Leg Raises
4th March,Cardio
4th March,Wrist Curls
4th March,Wrist Ext
5th March,Cardio
5th March,Hammer Curls
5th March,Bicep Curls
5th March,Shoulder Rehab
6th March,Cardio
6th March,Lateral Raises
6th March,Shoulder Press
6th March,Tricep Ext
7th March,Cardio
8th March,Cardio
9th March,Rest Day
10th March,Cardio
10th March,Rear Delt Fly
10th March,Rows
10th March,Pull Ups
10th March,Scapular Pull Ups
10th March,Crunches
10th March,Leg Raises
10th March,Oblique Crunches
10th March,Wrist Curls
10th March,Wrist Ext
11th March,Cardio
12th March,Cardio
12th March,Shoulder Rehab
12th March,Lateral Raises
12th March,Shoulder Press
13th March,Rest Day
14th March,Hammer Curls
14th March,Bicep Curls
14th March,Tricep Ext
15th March,Cardio
15th March,Wrist Curls
15th March,Wrist Ext
15th March,Crunches
15th March,Leg Raises
15th March,Oblique Crunches
